unit_id,orig_cust_id,unit_type,visit_index,required_visit_count,weight_kg,volume_m3,tw_start_min,tw_end_min,eligible_vehicle_types,source_order_ids,in_green_zone,must_use_ev_under_policy,fuel_allowed_after_16,ev_tw_start_min,ev_tw_end_min,fuel_tw_start_min,fuel_tw_end_min
144,61,mandatory_split,2,4,1249.7546,3.981786,257,343,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","464,472,656,702,778,1087,1103,1132,1136,1379,1825,1903,1934,2015,2059",0,0,0,257,343,257,343
145,61,mandatory_split,3,4,2047.8,4.96716,257,343,"fuel_3000,ev_3000",1529,0,0,0,257,343,257,343
146,61,mandatory_split,4,4,1468.3959,6.95016,257,343,"fuel_3000,fuel_1500,ev_3000","439,555,659,660,708,788,810,975,1067,1080,1108,1241,1251,1469,1535,1555,1838,2099,2143",0,0,0,257,343,257,343
147,62,mandatory_split,1,3,2998.0621,10.05773,671,721,"fuel_3000,ev_3000","373,610,614,639,719,858,893,1131,1234,1550,1596,1676,1762,1824,1908,1963,2091",0,0,0,671,721,671,721
148,62,mandatory_split,2,3,2807.9943,7.725443,671,721,"fuel_3000,ev_3000","344,377,421,435,440,481,496,572,584,592,597,744,764,871,903,915,922,987,1014,1028,1030,1111,1145,1194,1337,1367,1412,1421,1422,1507,1514,1580,1603,1729,1746,1779,1811,1866,1878,1965,1973",0,0,0,671,721,671,721
149,62,mandatory_split,3,3,2998.238,7.3775,671,721,"fuel_3000,ev_3000","508,1361,1629,1713,1845",0,0,0,671,721,671,721
150,63,mandatory_split,1,3,2999.7849,7.85085,472,554,"fuel_3000,ev_3000","939,1036,1487,1553,1995",0,0,0,472,554,472,554
151,63,mandatory_split,2,3,2696.7101,7.52466,472,554,"fuel_3000,ev_3000","301,341,422,429,458,488,500,505,634,644,647,705,706,774,814,851,890,891,932,1041,1092,1093,1180,1181,1243,1318,1354,1364,1645,1734,1751,1868,1873,1926,1947,2063,2067,2118,2156",0,0,0,472,554,472,554
152,63,mandatory_split,3,3,2996.495,8.40234,472,554,"fuel_3000,ev_3000","715,966,1209,1478,1738,1781,2086,2165",0,0,0,472,554,472,554
153,64,mandatory_split,1,3,2855.6487,7.21082,369,425,"fuel_3000,ev_3000","367,376,411,515,528,566,636,680,687,714,738,756,798,815,880,985,1016,1025,1244,1334,1336,1378,1436,1483,1538,1547,1665,1681,1694,1754,1792,1813,1848,1849,1929,1977,2050,2093",0,0,0,369,425,369,425
154,64,mandatory_split,2,3,2997.0114,7.28491,369,425,"fuel_3000,ev_3000","391,1066,1171,1826,1914,2072,2083",0,0,0,369,425,369,425
155,64,mandatory_split,3,3,2997.1071,7.00095,369,425,"fuel_3000,ev_3000","691,1951,2043,2164",0,0,0,369,425,369,425
156,65,mandatory_split,1,5,1498.1363,5.01876,477,563,"fuel_3000,fuel_1500,ev_3000","358,381,557,631,755,782,1110,1265,1282,1317,1366,1392,1660,1732,1958,2062,2097",0,0,0,477,563,477,563
157,65,mandatory_split,2,5,1249.7897,2.12534,477,563,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","349,979,1013,2088",0,0,0,477,563,477,563
158,65,mandatory_split,3,5,1266.0502,3.214783,477,563,"fuel_3000,fuel_1500,ev_3000",1721,0,0,0,477,563,477,563
159,65,mandatory_split,4,5,1248.9692,3.36271,477,563,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","1725,1737,1930",0,0,0,477,563,477,563
160,65,mandatory_split,5,5,1289.6413,4.2575,477,563,"fuel_3000,fuel_1500,ev_3000","460,531,541,568,569,633,640,649,722,723,807,888,904,916,993,1061,1135,1271,1281,1325,1403,1464,1576,1589,1913,1948,1950,2115,2141",0,0,0,477,563,477,563
161,68,mandatory_split,1,4,1495.6782,3.40098,631,708,"fuel_3000,fuel_1500,ev_3000","699,1082,1605",0,0,0,631,708,631,708
162,68,mandatory_split,2,4,2922.536,7.12387,631,708,"fuel_3000,ev_3000","326,346,410,417,546,575,650,725,729,754,784,870,918,990,992,1007,1104,1150,1159,1164,1187,1394,1398,1402,1424,1599,1648,1773,1784,1839,1916,1924,1937,1940,2005,2048,2133",0,0,0,631,708,631,708
163,68,mandatory_split,3,4,1498.165,3.19567,631,708,"fuel_3000,fuel_1500,ev_3000","646,832,1352,1532,1634",0,0,0,631,708,631,708
164,68,mandatory_split,4,4,1498.6082,3.71238,631,708,"fuel_3000,fuel_1500,ev_3000","372,703,1381,1827,2117",0,0,0,631,708,631,708
165,70,mandatory_split,1,2,2693.9674,8.73545,216,275,"fuel_3000,ev_3000","329,332,333,425,432,465,478,517,669,678,682,753,950,981,986,996,1083,1102,1203,1220,1302,1328,1370,1410,1435,1508,1520,1673,1695,1698,1756,1817,1901,1910,1925,1952",0,0,0,216,275,216,275
166,70,mandatory_split,2,2,2980.6836,7.63028,216,275,"fuel_3000,ev_3000","424,502,943,1465,1468,1570",0,0,0,216,275,216,275
167,71,mandatory_split,1,3,1247.3338,4.84749,679,765,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","1018,1071,1285,1332,1431,1855,1939,2014",0,0,0,679,765,679,765
168,71,mandatory_split,2,3,449.235,1.61952,679,765,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","309,406,573,599,616,673,1113,1257,1457,1563,1975,1979",0,0,0,679,765,679,765
169,71,mandatory_split,3,3,1370.5,3.57659,679,765,"fuel_3000,fuel_1500,ev_3000",825,0,0,0,679,765,679,765
170,73,mandatory_split,1,3,507.236495,1.74231,322,377,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","348,534,537,841,1053,1057,1068,1125,1214,1219,1235,1375,1408,1428,1525,1611,1644,1898,1919,2129",0,0,0,322,377,322,377
171,73,mandatory_split,2,3,1248.095,2.62153,322,377,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","388,423,519,823,1567,1843",0,0,0,322,377,322,377
172,73,mandatory_split,3,3,1247.8439,3.18236,322,377,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","307,525,1600",0,0,0,322,377,322,377
173,74,mandatory_split,1,3,1434.12,3.67297,311,370,"fuel_3000,fuel_1500,ev_3000","438,615,670,1003,1060,1383,1386,1476,1842,1982,2053",0,0,0,311,370,311,370
174,74,mandatory_split,2,3,1490.4,3.43674,311,370,"fuel_3000,fuel_1500,ev_3000",561,0,0,0,311,370,311,370
175,74,mandatory_split,3,3,1493.528634,3.82901,311,370,"fuel_3000,fuel_1500,ev_3000","408,926,1128,1148,1226,1340,1371,1881,1989,1997,2036,2058",0,0,0,311,370,311,370
176,75,mandatory_split,1,2,2002.2001,4.48628,385,465,"fuel_3000,ev_3000",750,0,0,0,385,465,385,465
177,75,mandatory_split,2,2,1015.2405,3.37124,385,465,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","613,900,957,1002,1034,1042,1064,1173,1223,1259,1350,1440,1626,1651,1753,1765,1771,1949,1970,2087",0,0,0,385,465,385,465
